ID,Label,Num_Stress,Stress_ID,Block,Position,Base_Soil,MP,Drought,Herbicide,Antibiotic,Seed_1_Emergence_Date,Seed_2_Emergence_Date,June_11_Height_cm,June_18_Height_cm,June_25_Height_cm,Jul_2_Height_cm,July_9_Height_cm,July_15_Height_cm,Shoot_Biomass,Root_Biomass,File.Name,Region.of.Interest,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,Depth.mm,Maximum.Width.mm,Width-to-Depth.Ratio,Network.Area.mm2,Convex.Area.mm2,Solidity,Lower.Root.Area.mm2,Average.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Holes,Computation.Time.s,Average.Root.Orientation.deg,Shallow.Angle.Frequency,Medium.Angle.Frequency,Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,TOC_Batch,Broken_Tube_TOC,Date_of_TOC,TOC_Sample_ID,NPOC,NPOC_Unit,Vial,Date_Time
1,xxxx_1,0,Control,1,9,Untreated,Absence,Absence,Absence,Absence ,June_7,June_8,14.1,30.2,30.2,31.6,31.9,31.9,179.3,71.4,MO_001.jpg,roi_1,33,106,5111,19082.21491,285.538333,208.407,0.729874,5903.090344,59487.27798,0.099233,5522.080354,0.476534,4.663589,30125.02947,5883.762902,28034.18103,3180,3.665,46.812801,0.32471,0.303025,0.372264,6626.929391,12455.28552,1492.633625,7429.231967,4689.401988,23344.77904,276.911139,5606.851763,Test,N,Feb_25,1_EX2,0.8517,mg/L,19,2/25/26 20:24
2,xxxx_2,0,Control,10,2,Untreated,Absence,Absence,Absence,Absence ,June_6,June_8,13,18.7,20.1,20.1,20,25.8,110.7,70.4,MO_002.jpg,roi_1,19,155,2362,12062.63788,285.538333,211.920667,0.742179,4128.513248,60332.14098,0.06843,3628.915681,0.509007,7.084228,19493.48884,5080.513522,18912.03614,1909,3.02,47.328064,0.331826,0.279361,0.388813,5264.205412,6798.432466,1137.538006,4880.907904,3573.752259,15338.28388,203.222008,4877.291514,Test,N,Feb_25,2_EX2,0.05314,mg/L,20,2/25/26 20:41
3,xxxx_3,0,Control,5,8,Untreated,Absence,Absence,Absence,Absence ,June_6,June_7,11.3,19.5,24.2,25.5,26,29.2,146,41.4,MO_003.jpg,roi_1,15,39,1187,7200.310847,277.325667,201.464333,0.726454,2144.918649,48199.24052,0.044501,2078.028102,0.441248,5.770392,12580.80272,2666.787308,9746.052108,766,2.342,47.709695,0.311336,0.305796,0.382868,3974.011264,3226.299583,892.189199,2209.518763,2802.920211,6943.131897,162.488374,2504.298934,Test,N,Feb_25,3_EX2,0.00954,mg/L,21,2/25/26 20:58
4,xxxx_4,0,Control,10,4,Untreated,Absence,Absence,Absence,Absence ,June_6,June_7,9.5,20.4,26.6,27.4,27.3,27.2,188,56.8,MO_004.jpg,roi_1,22,67,1637,13191.36536,283.167667,207.221667,0.731798,3705.202267,55360.6563,0.066928,3669.274023,0.399708,5.247967,22777.746,3317.847259,16125.36053,1984,2.996,45.85847,0.339582,0.30283,0.357588,7710.256974,5481.108382,1651.966631,3480.77257,5189.806231,10935.5543,289.786947,3028.060312,Test,N,Feb_25,4_EX2,0.5885,mg/L,22,2/25/26 21:16
5,xxxx_5,0,Control,4,6,Untreated,Absence,Absence,Absence,Absence ,June_6,June_6,11.9,17.4,22.7,22.9,27.2,36.2,127.8,70.8,MO_005.jpg,roi_1,20,76,2144,12463.36117,283.167667,207.221667,0.731798,3620.447956,57101.0677,0.063404,3541.750981,0.450495,7.420298,21302.49119,4712.22217,17251.88222,1452,3.005,45.691092,0.340356,0.302551,0.357093,6662.871032,5800.490141,1467.866574,4023.056188,4611.495872,12640.38635,264.524809,4447.697361,3,Y,Mar_9,5_EX2,21.65,mg/L,1,3/9/26 12:26
6,xxxx_6,0,Control,11,3,Untreated,Absence,Absence,Absence,Absence ,June_6,June_6,12.6,21.2,21.2,21.1,21.1,23.9,157.8,130.3,MO_006.jpg,roi_1,30,166,2981,17516.929,287.824333,207.221667,0.719959,4856.773441,59578.48927,0.081519,4522.980201,0.421652,7.80634,28990.94547,5795.397321,22802.01154,2807,3.955,47.072057,0.327442,0.290386,0.382172,9391.647187,8125.28181,2046.524424,5210.144613,6429.591302,16372.42024,366.489214,5428.908107,3,N,Mar_9,6_EX2,0.4517,mg/L,2,3/9/26 12:39
7,xxxx_7,0,Control,18,6,Untreated,Absence,Absence,Absence,Absence ,June_6,NA,15.4,26.2,32.1,32.1,32.1,32.2,286.3,125.7,MO_007.jpg,roi_1,48,167,5634,28077.3728,287.824333,207.221667,0.719959,8519.662172,59578.17027,0.143,8519.662172,0.461835,6.194569,42598.83195,8306.224697,40098.22245,6573,4.888,46.935043,0.326494,0.293613,0.379893,9768.65257,18308.72023,2171.131465,10588.49307,6822.32234,33275.90011,400.612146,7905.612551,3,Y,Mar_9,7_EX2,21.63,mg/L,3,3/9/26 12:53
8,xxxx_8,0,Control,3,5,Untreated,Absence,Absence,Absence,Absence ,June_6,June_6,13.8,26,25.1,24.6,24.6,26.5,156.4,56.7,MO_008.jpg,roi_1,31,162,5585,20298.94105,287.824333,207.221667,0.719959,5477.030265,59578.42296,0.09193,5477.030265,0.444339,6.377598,31469.56926,6849.975675,27778.21955,5048,4.094,47.115169,0.331144,0.283054,0.385803,9473.385142,10825.55591,2009.546195,6829.576489,6314.992058,21463.22749,358.268353,6491.707323,2,N,Mar_5,8_EX2,0.3218,mg/L,3,3/5/26 17:52
9,xxxx_9,0,Control,14,9,Untreated,Absence,Absence,Absence,Absence ,June_6,June_7,15.4,28,28.2,28.3,28.3,28.3,192,75.6,MO_009.jpg,roi_1,29,157,3042,15873.72276,287.824333,206.629,0.7179,4652.139441,59431.38114,0.078277,4339.588095,0.435561,5.544859,25391.22979,4128.176281,21284.86618,2754,3.369,47.039175,0.319098,0.303042,0.37786,7640.089566,8233.633192,1688.938524,5085.025993,5306.075846,15978.79034,306.017686,3822.158595,3,N,Mar_9,9_EX2,0.7606,mg/L,4,3/9/26 13:06
10,xxxx_10,0,Control,9,4,Untreated,Absence,Absence,Absence,Absence ,June_7,NA,13.5,27,28.4,28.8,29,28.7,205.9,121,MO_010.jpg,roi_1,42,156,4596,25356.98508,287.824333,206.629,0.7179,7538.492091,59428.39369,0.12685,7140.390737,0.440576,8.007605,39205.704,6649.299775,34575.34392,5622,4.732,45.298552,0.346878,0.296523,0.356599,10142.17539,15214.80969,2277.21667,8726.203601,7154.461443,27420.88247,419.514771,6229.785004,3,N,Mar_9,10_EX2,0.2885,mg/L,5,3/9/26 13:21
11,xxxx_11,0,Control,5,4,Untreated,Absence,Absence,Absence,Absence ,June_6,June_7,13.1,22.6,26.7,28.6,28.5,29.4,214.1,123.5,MO_011.jpg,roi_1,38,67,3484,20681.43784,283.125333,206.078667,0.727871,5668.601566,57877.59661,0.097941,5563.82579,0.390044,7.624232,33668.64169,4834.627302,25173.83252,4200,3.774,46.641545,0.319204,0.306217,0.374579,10088.66507,10592.77276,2233.366596,5777.466087,7017.169922,18156.66259,405.62394,4429.003362,3,N,Mar_9,11_EX2,2.607,mg/L,6,3/9/26 13:34
12,xxxM_1,1,MP,15,4,MP,Presence,Absence,Absence,Absence ,June_6,June_7,15.8,28.8,29.6,33.9,33.2,36.7,300.7,184.2,MO_012.jpg,roi_1,61,116,7274,38925.33404,283.125333,206.629,0.729815,10776.18813,58350.96663,0.184679,10650.72601,0.426156,7.491445,56168.25846,9603.584753,51447.89587,11213,6.091,46.382204,0.32284,0.312438,0.364722,16755.53144,22169.80259,3585.80629,12785.54744,11265.50313,40182.39274,634.990002,8968.594751,1,N,Mar_2,12_EX2,1.686,mg/L,3,3/2/26 11:04
13,xxxM_2,1,MP,12,10,MP,Presence,Absence,Absence,Absence ,June_6,June_9,15.2,25.6,25.4,25.4,24.9,36.1,293.3,132.6,MO_013.jpg,roi_1,62,130,2045,35726.05254,279.950333,206.375,0.737184,8225.397528,56934.58416,0.144471,8225.397528,0.324819,9.446311,57462.92038,5219.853663,35726.42417,11574,9.406,47.142405,0.310042,0.31596,0.373998,22216.25565,13509.79688,4445.50367,6923.449247,13966.35654,21760.06763,740.883892,4478.969771,3,N,Mar_9,13_EX2,1.17,mg/L,7,3/9/26 13:51
14,xxxM_3,1,MP,2,3,MP,Presence,Absence,Absence,Absence ,June_6,June_8,14.1,24.2,24.2,23.4,24,28.6,168.3,65.5,MO_014.jpg,roi_1,28,79,2267,17781.68847,283.125333,207.264,0.732057,4799.316566,57394.3646,0.08362,4772.071101,0.386202,4.607921,28579.3827,3255.994858,21103.04683,4051,3.437,46.734409,0.318064,0.308634,0.373302,8977.246349,8804.442116,1883.025251,4832.975538,5915.714218,15187.33261,327.728485,2928.266373,3,N,Mar_9,14_EX2,0.5339,mg/L,8,3/9/26 14:04
15,xxxM_4,1,MP,5,5,MP,Presence,Absence,Absence,Absence ,June_7,NA,12.9,25.1,26.8,26.6,26.8,37.5,307.6,156.6,MO_015.jpg,roi_1,55,111,6777,33832.15429,285.453667,207.264,0.726086,9543.122491,59143.41218,0.161356,9131.300734,0.451405,7.489531,49693.04912,10252.36352,47159.67816,8909,5.454,45.963032,0.331124,0.30512,0.363756,14567.53525,19264.61903,3130.486572,11878.53171,9834.971512,37324.70665,555.866996,9696.496522,1,N,Mar_2,15_EX2,0.9473,mg/L,4,3/2/26 11:19
16,xxxM_5,1,MP,14,4,MP,Presence,Absence,Absence,Absence ,June_7,June_9,13.5,27.5,27.7,26.9,26.9,28.8,131.9,63.6,MO_016.jpg,roi_1,27,302,2142,16691.17489,285.453667,208.999667,0.732167,4770.099779,59636.91836,0.079986,4770.099779,0.444641,6.096,27467.39957,5392.350299,22553.84364,3099,3.419,48.631884,0.306065,0.287021,0.406914,9328.853265,7362.321626,1889.441772,5288.782892,5935.945267,16617.89837,319.671851,5072.678448,3,N,Mar_9,16_EX2,0.02636,mg/L,9,3/9/26 14:19
17,xxxM_6,1,MP,17,4,MP,Presence,Absence,Absence,Absence ,June_6,June_7,13.5,24.6,26.9,26.7,25.7,29.4,262.5,194.5,MO_017.jpg,roi_1,59,312,5762,35373.30892,285.453667,208.999667,0.732167,10023.53013,59638.15313,0.168072,9914.458666,0.453417,8.810624,52583.73019,11390.94926,49447.85771,9383,5.656,46.31773,0.332194,0.299433,0.368372,16471.8443,18901.46462,3526.95716,12208.9048,11080.33016,38367.52756,622.770821,10768.17844,2,N,Mar_5,17_EX2,1.084,mg/L,4,3/5/26 18:07
18,xxxM_7,1,MP,11,1,MP,Presence,Absence,Absence,Absence ,June_6,NA,15.2,27.4,27.3,27.2,27.3,33.2,299.1,187.2,MO_018.jpg,roi_1,43,153,6068,27837.13697,284.268333,208.999667,0.73522,8022.939151,59391.10702,0.135087,8022.939151,0.465048,7.928887,41538.78067,10752.74108,40126.74676,6564,4.801,47.190319,0.315139,0.306148,0.378713,12828.88178,15008.25519,2795.990065,9973.970741,8783.954481,31342.79228,500.816961,10251.92411,2,N,Mar_5,18_EX2,1.258,mg/L,5,3/5/26 18:21
19,xxxM_8,1,MP,11,5,MP,Presence,Absence,Absence,Absence ,June_6,June_6,14.7,26.9,30.1,29.5,30,29.7,297.7,222.5,MO_019.jpg,roi_1,58,152,13323,40424.97008,284.268333,208.999667,0.73522,12019.76091,59391.10702,0.202383,11504.97341,0.521289,9.019683,52590.6693,16811.67644,65558.71499,11378,6.724,47.261112,0.308976,0.315843,0.37518,13547.6129,26877.35718,2881.879365,17980.10584,9054.015869,56504.69912,514.35408,16297.32236,2,N,Mar_5,19_EX2,1.085,mg/L,6,3/5/26 18:36
