SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	UniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00010113493	61707	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.988459	13885200.0	0	2.93719	5	0.000473022	161.046	-1	temp/spectra_filtered.mgf61707	61707	1	MEGLUTOL CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M-H	161.046	0.0	1	N/A	N/A	CC(O)(CC(=O)O)CC(=O)O	"""InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)"""	N/A	3	Negative	BERKELEY-LAB	161.046	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H10O5	NPOAOTPXWNWTSH-UHFFFAOYSA-N	NPOAOTPXWNWTSH	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Fatty Acids and Conjugates	Dicarboxylic acids	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010113493
CCMSLIB00013639347	60478	spectra_filtered.mgf	WINE-DB-ORBITRAP.mgf	0.981368	2934730.0	0	0.62626	9	0.000213623	341.109	-1	temp/spectra_filtered.mgf60478	60478	1	Saccharose	ESI	Orbitrap	Commercial	Axel_Marchal	TE_MLS	M+H	341.109	342.3	1	57-50-1	N/A	O([C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O)[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1"	N/A	1	Negative	WINE-DB-ORBITRAP	341.109	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C12H22O11	CZMRCDWAGMRECN-UGDNZRGBSA-N	CZMRCDWAGMRECN	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Disaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639347
CCMSLIB00006679276	66474	spectra_filtered.mgf	MONA.mgf	0.974629	7105720.0	0	1.59761	7	0.000305176	191.02	-1	temp/spectra_filtered.mgf66474	66474	1	CITRIC ACID	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037792	M-H	191.02	0.0	1	N/A	N/A	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	"""InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"""	N/A	3	negative	MONA	191.02	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C6H8O7	KRKNYBCHXYNGOX-UHFFFAOYSA-N	KRKNYBCHXYNGOX	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Fatty Acids and Conjugates	Hydroxy fatty acids	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006679276
CCMSLIB00010121460	1718	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.973496	2674740.0	0	1.89465	5	0.000289917	153.019	-1	temp/spectra_filtered.mgf1718	1718	1	"""2,3-Dihydroxybenzoic acid CollisionEnergy:205060"""	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M-H	153.019	0.0	1	N/A	N/A	O=C(O)c1cccc(O)c1O	"""InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)"""	N/A	3	Negative	BERKELEY-LAB	153.019	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C7H6O4	GLDQAMYCGOIJDV-UHFFFAOYSA-N	GLDQAMYCGOIJDV	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010121460
CCMSLIB00012857337	58583	spectra_filtered.mgf	MSNLIB-NEGATIVE.mgf	0.972883	22545500.0	0	2.60976	5	0.000488281	187.098	-1	temp/spectra_filtered.mgf58583	58583	1	azelaic acid	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M-H]-	187.098	188.105	-1	N/A	N/A	O=C(O)CCCCCCCC(=O)O	"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)"	BDJRBEYXGGNYIS-UHFFFAOYSA-N	1	Negative	MSNLIB-NEGATIVE	187.098	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H16O4	BDJRBEYXGGNYIS-UHFFFAOYSA-N	BDJRBEYXGGNYIS	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Fatty Acids and Conjugates	Dicarboxylic acids	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012857337
CCMSLIB00012351243	53008	spectra_filtered.mgf	MSNLIB-NEGATIVE.mgf	0.970931	2662910.0	0	1.31314	6	0.000198364	151.061	-1	temp/spectra_filtered.mgf53008	53008	1	L-arabinitol	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M-H]-	151.061	152.068	1	N/A	N/A	OC[C@H](O)C(O)[C@@H](O)CO	"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m0/s1"	HEBKCHPVOIAQTA-IMJSIDKUSA-N	1	Negative	MSNLIB-NEGATIVE	151.061	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H12O5	HEBKCHPVOIAQTA-IMJSIDKUSA-N	HEBKCHPVOIAQTA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012351243
CCMSLIB00013639301	56387	spectra_filtered.mgf	WINE-DB-ORBITRAP.mgf	0.969434	9634380.0	0	3.96067	6	0.000717163	181.072	-1	temp/spectra_filtered.mgf56387	56387	1	Sorbitol	ESI	Orbitrap	Commercial	Axel_Marchal	TE_MLS	M+H	181.071	182.17	1	50-70-4	N/A	[C@H]([C@@H]([C@@H](CO)O)O)([C@H](CO)O)O	"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1"	N/A	1	Negative	WINE-DB-ORBITRAP	181.071	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H14O6	FBPFZTCFMRRESA-JGWLITMVSA-N	FBPFZTCFMRRESA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013639301
CCMSLIB00010121461	4072	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.967991	7676500.0	0	1.99437	5	0.000305176	153.019	-1	temp/spectra_filtered.mgf4072	4072	1	"""2,3-Dihydroxybenzoic acid CollisionEnergy:205060"""	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M-H	153.019	0.0	1	N/A	N/A	O=C(O)c1cccc(O)c1O	"""InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)"""	N/A	3	Negative	BERKELEY-LAB	153.019	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C7H6O4	GLDQAMYCGOIJDV-UHFFFAOYSA-N	GLDQAMYCGOIJDV	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010121461
CCMSLIB00012351243	53961	spectra_filtered.mgf	MSNLIB-NEGATIVE.mgf	0.967411	1251960.0	0	1.31314	6	0.000198364	151.061	-1	temp/spectra_filtered.mgf53961	53961	1	L-arabinitol	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M-H]-	151.061	152.068	1	N/A	N/A	OC[C@H](O)C(O)[C@@H](O)CO	"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m0/s1"	HEBKCHPVOIAQTA-IMJSIDKUSA-N	1	Negative	MSNLIB-NEGATIVE	151.061	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H12O5	HEBKCHPVOIAQTA-IMJSIDKUSA-N	HEBKCHPVOIAQTA	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Saccharides	Monosaccharides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012351243
CCMSLIB00010059800	28488	spectra_filtered.mgf	PNNL-LIPIDS-NEGATIVE.mgf	0.967173	21577300.0	0	1.62666	8	0.000732422	450.263	-1	temp/spectra_filtered.mgf28488	28488	1	PE(16:1/0:0); [M-H]- C21H41N1O7P1	LC-ESI	HCD; Lumos	Commercial	Thomas Metz	Thomas Metz	M-H	450.262	0.0	1	N/A	N/A	N/A	N/A	N/A	1	Negative	PNNL-LIPIDS-NEGATIVE	450.262	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010059800
