SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	UniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00003135040	3778	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.980755	267900.0	0	2.71367	9	0.000518799	191.179	1	temp/spectra_filtered.mgf3778	3778	1	"Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14"	ESI	QqQ	Isolated	Data from Gabriel Haddad	Data deposited by mjmeehan	M+H-2H2O	191.18	0.0	1	126863	N/A	N/A	N/A	N/A	3	Positive	GNPS-NIST14-MATCHES	191.18	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135040
CCMSLIB00010109104	1653	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.980361	19622100.0	0	0.311974	6	0.00012207	391.284	1	temp/spectra_filtered.mgf1653	1653	1	DEHP CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	391.284	0.0	1	N/A	N/A	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	"""InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3"""	N/A	3	Positive	BERKELEY-LAB	391.284	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H38O4	BJQHLKABXJIVAM-UHFFFAOYSA-N	BJQHLKABXJIVAM	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010109104
CCMSLIB00013576457	5813	spectra_filtered.mgf	CMMC-FOOD-BIOMARKERS.mgf	0.971698	945938.0	0	1.35068	6	0.000259399	192.051	1	temp/spectra_filtered.mgf5813	5813	1	Aconitic acid (known structural isomers: 1; isobaric peaks in run: 3)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+NH4]+	192.051	174.016	1	N/A	N/A	C(C(=CC(=O)O)C(=O)O)C(=O)O	"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)"	"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12) [M+NH4]+"	1	Positive	CMMC-FOOD-BIOMARKERS	192.051	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H6O6	GTZCVFVGUGFEME-UHFFFAOYSA-N	GTZCVFVGUGFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Fatty Acids and Conjugates	Dicarboxylic acids	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013576457
CCMSLIB00010109104	3528	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.97026	10012600.0	0	0.701941	6	0.000274658	391.284	1	temp/spectra_filtered.mgf3528	3528	1	DEHP CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	391.284	0.0	1	N/A	N/A	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	"""InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3"""	N/A	3	Positive	BERKELEY-LAB	391.284	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H38O4	BJQHLKABXJIVAM-UHFFFAOYSA-N	BJQHLKABXJIVAM	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010109104
CCMSLIB00010109104	7807	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.964583	4123960.0	0	0.857928	6	0.000335693	391.284	1	temp/spectra_filtered.mgf7807	7807	1	DEHP CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H	391.284	0.0	1	N/A	N/A	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	"""InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3"""	N/A	3	Positive	BERKELEY-LAB	391.284	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C24H38O4	BJQHLKABXJIVAM-UHFFFAOYSA-N	BJQHLKABXJIVAM	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Phenolic acids (C6-C1)	Shikimic acids and derivatives|Simple phenolic acids	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010109104
CCMSLIB00012359577	31827	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.96235	1526920.0	0	1.39207	5	0.000350952	252.109	1	temp/spectra_filtered.mgf31827	31827	1	2'-deoxyadenosine	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	252.109	251.102	1	N/A	N/A	Nc1c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2ncn1	"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1"	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	1	Positive	MSNLIB-POSITIVE	252.109	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H13N5O3	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	OLXZPDWKRNYJJZ	"Nucleosides, nucleotides, and analogues"	Purine nucleosides	Purine 2'-deoxyribonucleosides	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012359577
CCMSLIB00010113136	4887	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.95722	9338060.0	0	1.32298	7	0.000549316	415.211	1	temp/spectra_filtered.mgf4887	4887	1	"""1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040"""	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+2H]	415.212	0.0	1	N/A	N/A	Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)C(=CNN1C(C)CCC1Cc1ccco1)C(=O)C(O)=C3C(C)C)C(=CNN1CCCC1Cc1ccco1)C(=O)C(O)=C2C(C)C	"""InChI=1S/C49H56N4O8/c1-25(2)38-34-19-27(5)40(46(56)42(34)36(44(54)48(38)58)23-50-52-16-8-11-30(52)21-32-12-9-17-60-32)41-28(6)20-35-39(26(3)4)49(59)45(55)37(43(35)47(41)57)24-51-53-29(7)14-15-31(53)22-33-13-10-18-61-33/h9-10,12-13,17-20,23-26,29-31,50-51,56-59H,8,11,14-16,21-22H2,1-7H3/b36-23-,37-24-"""	N/A	3	Positive	BERKELEY-LAB	415.212	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C49H56N4O8	OZMHKRBQDGOIDU-UHFFFAOYSA-N	OZMHKRBQDGOIDU	N/A	N/A	N/A				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010113136
CCMSLIB00012446050	4511	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.956707	24690500.0	0	0.205639	10	9.15527E-05	445.212	1	temp/spectra_filtered.mgf4511	4511	1	Asperglaucide	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	445.212	444.205	1	N/A	N/A	CC(=O)OCC(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1	"InChI=1S/C27H28N2O4/c1-20(30)33-19-24(17-21-11-5-2-6-12-21)28-27(32)25(18-22-13-7-3-8-14-22)29-26(31)23-15-9-4-10-16-23/h2-16,24-25H,17-19H2,1H3,(H,28,32)(H,29,31)"	VZPAURMDJZOGHU-UHFFFAOYSA-N	1	Positive	MSNLIB-POSITIVE	445.212	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C27H28N2O4	VZPAURMDJZOGHU-UHFFFAOYSA-N	VZPAURMDJZOGHU	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012446050
CCMSLIB00003142432	1800	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.954103	3827670.0	0	2.437	21	0.00195312	801.443	1	temp/spectra_filtered.mgf1800	1800	1	Beauvericin [+NH4+]	LC-ESI	Orbitrap	Crude	P Dorrestein	Daniel Petras	M+NH4	801.445	801.444	1	 	 	O=C1N(C)[C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H]1C(C)C)Cc2ccccc2)C)C(C)C)Cc3ccccc3)C)C(C)C)Cc4ccccc4	"InChI=1S/C45H57N3O9/c1-28(2)37-40(49)46(7)35(26-32-21-15-11-16-22-32)44(53)56-39(30(5)6)42(51)48(9)36(27-33-23-17-12-18-24-33)45(54)57-38(29(3)4)41(50)47(8)34(43(52)55-37)25-31-19-13-10-14-20-31/h10-24,28-30,34-39H,25-27H2,1-9H3/t34-,35-,36-,37+,38+,39+/m0/s1"	 	3	Positive	GNPS-LIBRARY	801.445	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C45H57N3O9	GYSCAQFHASJXRS-FFCOJMSVSA-N	GYSCAQFHASJXRS	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Oligopeptides	Cyclic peptides|Depsipeptides	Amino acids and Peptides|Polyketides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003142432
CCMSLIB00000579701	25289	spectra_filtered.mgf	CASMI.mgf	0.951979	19834000.0	0	0.265084	5	6.10352E-05	230.248	1	temp/spectra_filtered.mgf25289	25289	1	"""N,N-Dimethyldodecylamine N-oxide"""	LC-ESI	Orbitrap	Commercial	CASMI	CASMI2016	M+H	230.248	0.0	1	N/A	14688	CCCCCCCCCCCC[N+](C)(C)[O-]	"""InChI=1S/C14H31NO/c1-4-5-6-7-8-9-10-11-12-13-14-15(2,3)16/h4-14H2,1-3H3"""		1	 Positive	CASMI	230.248	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	SYELZBGXAIXKHU-UHFFFAOYSA-N	SYELZBGXAIXKHU	Organic nitrogen compounds	Organonitrogen compounds	Aminoxides	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000579701
